01-05-2024,vegetable,Wholesale price,Retail Price,shopping mall,units,state ,,,,,,,,,,,,
01-05-2024,Onion Big (பெரிய வெங்காயம்),₹ 24,₹28 - 30,₹29 - 40,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Onion Small (சின்ன வெங்காயம்),₹ 34,₹39 - 43,₹41 - 56,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Tomato (தக்காளி),₹ 26,₹30 - 33,₹31 - 43,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Green Chilli (பச்சை மிளகாய்),₹ 44,₹51 - 56,₹53 - 73,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Beetroot (பீட்ரூட்),₹ 40,₹46 - 51,₹48 - 66,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Potato (உருளைக்கிழங்கு),₹ 28,₹32 - 36,₹34 - 46,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Raw Banana (Plantain) (வாழைக்காய்),₹ 8,₹9 - 10,₹10 - 13,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Amaranth Leaves (சிறு கீரை),₹ 11,₹13 - 14,₹13 - 18,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Amla (நெல்லிக்காய்),₹ 75,₹86 - 95,₹90 - 124,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Ash gourd (சாம்பல் பூசணிக்காய்),₹ 18,₹21 - 23,₹22 - 30,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Baby Corn (சிறிய மக்காச்சோளம்),₹ 49,₹56 - 62,₹59 - 81,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Banana Flower (வாழைப்பூ),₹ 19,₹22 - 24,₹23 - 31,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Capsicum (குடைமிளகாய்),₹ 44,₹51 - 56,₹53 - 73,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Bitter Gourd (பாகற்காய்),₹ 31,₹36 - 39,₹37 - 51,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Bottle Gourd (சுரைக்காய்),₹ 28,₹32 - 36,₹34 - 46,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Butter Beans (பட்டர் பீன்ஸ்),₹ 47,₹54 - 60,₹56 - 78,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Broad Beans (அவரைக்காய்),₹ 29,₹33 - 37,₹35 - 48,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Cabbage (முட்டைக்கோஸ்),₹ 19,₹22 - 24,₹23 - 31,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Carrot (கேரட்),₹ 45,₹52 - 57,₹54 - 74,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Cauliflower (காலிஃபிளவர்),₹ 27,₹31 - 34,₹32 - 45,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Cluster beans (கொத்தவரை),₹ 44,₹51 - 56,₹53 - 73,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Coconut (தேங்காய்),₹ 34,₹39 - 43,₹41 - 56,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Colocasia Leaves (சேப்பங்கிழங்கு கீரை),₹ 15,₹17 - 19,₹18 - 25,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Colocasia (சேப்பங்கிழங்கு),₹ 27,₹31 - 34,₹32 - 45,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Coriander Leaves (கொத்துமல்லி),₹ 9,₹10 - 11,₹11 - 15,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Corn (மக்காச்சோளம்),₹ 30,₹35 - 38,₹36 - 50,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Cucumber (வெள்ளரிக்காய்),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Curry Leaves (கறிவேப்பிலை),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Dill Leaves (வெந்தயம் இலைகள்),₹ 10,₹12 - 13,₹12 - 17,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Drumsticks (முருங்கைக்காய்),₹ 40,₹46 - 51,₹48 - 66,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Brinjal (கத்திரிக்காய்),₹ 23,₹26 - 29,₹28 - 38,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Brinjal (Big) (கத்திரிக்காய்),₹ 23,₹26 - 29,₹28 - 38,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Elephant Yam (சேனைக்கிழங்கு),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Fenugreek Leaves (வெந்தயக்கீரை),₹ 11,₹13 - 14,₹13 - 18,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,French Beans (பீன்ஸ்),₹ 52,₹60 - 66,₹62 - 86,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Garlic (பூண்டு),₹ 175,₹201 - 222,₹210 - 289,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Ginger (இஞ்சி),₹ 106,₹122 - 135,₹127 - 175,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Onion Green (பச்சை வெங்காயம்),₹ 43,₹49 - 55,₹52 - 71,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Green Peas (பச்சை பட்டாணி),₹ 41,₹47 - 52,₹49 - 68,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Ivy Gourd (கோவைக்காய்),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Lemon (Lime) (எலுமிச்சை),₹ 60,₹69 - 76,₹72 - 99,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Mango Raw (மாங்காய்),₹ 24,₹28 - 30,₹29 - 40,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Mint Leaves (புதினா),₹ 5,₹6 - 6,₹6 - 8,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Mushroom (காளான்),₹ 95,₹109 - 121,₹114 - 157,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Mustard Leaves (கடுகு இலைகள்),₹ 16,₹18 - 20,₹19 - 26,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Ladies Finger (வெண்டைக்காய்),₹ 36,₹41 - 46,₹43 - 59,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Pumpkin (பூசணி),₹ 18,₹21 - 23,₹22 - 30,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Radish (முள்ளங்கி),₹ 24,₹28 - 30,₹29 - 40,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Ridge Gourd (பீர்க்கங்காய்),₹ 28,₹32 - 36,₹34 - 46,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Shallot (Pearl Onion) (சிறிய வெங்காயம்),₹ 32,₹37 - 41,₹38 - 53,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Snake Gourd (புடலங்காய்),₹ 22,₹25 - 28,₹26 - 36,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Sorrel Leaves (புளிச்ச கீரை),₹ 15,₹17 - 19,₹18 - 25,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Spinach (கீரை),₹ 15,₹17 - 19,₹18 - 25,1kg,Tamil nadu,,,,,,,,,,,,
01-05-2024,Sweet Potato (இனிப்பு உருளைக்கிழங்கு),₹ 40,₹46 - 51,₹48 - 66,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Onion Big (பெரிய வெங்காயம்),₹ 24,₹28 - 30,₹29 - 40,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Onion Small (சின்ன வெங்காயம்),₹ 34,₹39 - 43,₹41 - 56,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Tomato (தக்காளி),₹ 26,₹30 - 33,₹31 - 43,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Green Chilli (பச்சை மிளகாய்),₹ 44,₹51 - 56,₹53 - 73,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Beetroot (பீட்ரூட்),₹ 40,₹46 - 51,₹48 - 66,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Potato (உருளைக்கிழங்கு),₹ 28,₹32 - 36,₹34 - 46,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Raw Banana (Plantain) (வாழைக்காய்),₹ 8,₹9 - 10,₹10 - 13,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Amaranth Leaves (சிறு கீரை),₹ 11,₹13 - 14,₹13 - 18,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Amla (நெல்லிக்காய்),₹ 75,₹86 - 95,₹90 - 124,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Ash gourd (சாம்பல் பூசணிக்காய்),₹ 18,₹21 - 23,₹22 - 30,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Baby Corn (சிறிய மக்காச்சோளம்),₹ 49,₹56 - 62,₹59 - 81,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Banana Flower (வாழைப்பூ),₹ 19,₹22 - 24,₹23 - 31,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Capsicum (குடைமிளகாய்),₹ 44,₹51 - 56,₹53 - 73,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Bitter Gourd (பாகற்காய்),₹ 31,₹36 - 39,₹37 - 51,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Bottle Gourd (சுரைக்காய்),₹ 28,₹32 - 36,₹34 - 46,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Butter Beans (பட்டர் பீன்ஸ்),₹ 47,₹54 - 60,₹56 - 78,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Broad Beans (அவரைக்காய்),₹ 29,₹33 - 37,₹35 - 48,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Cabbage (முட்டைக்கோஸ்),₹ 19,₹22 - 24,₹23 - 31,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Carrot (கேரட்),₹ 45,₹52 - 57,₹54 - 74,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Cauliflower (காலிஃபிளவர்),₹ 27,₹31 - 34,₹32 - 45,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Cluster beans (கொத்தவரை),₹ 44,₹51 - 56,₹53 - 73,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Coconut (தேங்காய்),₹ 34,₹39 - 43,₹41 - 56,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Colocasia Leaves (சேப்பங்கிழங்கு கீரை),₹ 15,₹17 - 19,₹18 - 25,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Colocasia (சேப்பங்கிழங்கு),₹ 27,₹31 - 34,₹32 - 45,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Coriander Leaves (கொத்துமல்லி),₹ 9,₹10 - 11,₹11 - 15,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Corn (மக்காச்சோளம்),₹ 30,₹35 - 38,₹36 - 50,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Cucumber (வெள்ளரிக்காய்),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Curry Leaves (கறிவேப்பிலை),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Dill Leaves (வெந்தயம் இலைகள்),₹ 10,₹12 - 13,₹12 - 17,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Drumsticks (முருங்கைக்காய்),₹ 40,₹46 - 51,₹48 - 66,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Brinjal (கத்திரிக்காய்),₹ 23,₹26 - 29,₹28 - 38,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Brinjal (Big) (கத்திரிக்காய்),₹ 23,₹26 - 29,₹28 - 38,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Elephant Yam (சேனைக்கிழங்கு),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Fenugreek Leaves (வெந்தயக்கீரை),₹ 11,₹13 - 14,₹13 - 18,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,French Beans (பீன்ஸ்),₹ 52,₹60 - 66,₹62 - 86,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Garlic (பூண்டு),₹ 175,₹201 - 222,₹210 - 289,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Ginger (இஞ்சி),₹ 106,₹122 - 135,₹127 - 175,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Onion Green (பச்சை வெங்காயம்),₹ 43,₹49 - 55,₹52 - 71,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Green Peas (பச்சை பட்டாணி),₹ 41,₹47 - 52,₹49 - 68,1kg,Tamil nadu,,,,,,,,,,,,
02-05-2024,Ivy Gourd (கோவைக்காய்),₹ 25,₹29 - 32,₹30 - 41,1kg,Tamil nadu,,,,,,,,,,,,
